date,usdt_close,krw_close,usdkrw,usd_ffill,greed,greed_ffill,kimchi_pct
2020-02-08,0.2775,324.0,1187.2,True,56.0,False,-1.6536752385809097
2020-02-09,0.2828,330.0,1187.2,True,56.0,False,-1.7097031227959136
2020-02-10,0.2736,321.0,1187.2,False,57.0,False,-1.1754031304676782
2020-02-11,0.2816,325.0,1189.8,False,52.0,False,-2.9988806369290577
2020-02-12,0.3043,347.0,1184.1,False,61.0,False,-3.6971496826321504
2020-02-13,0.3276,378.0,1179.8,False,65.0,False,-2.1998513437740397
2020-02-14,0.3362,384.0,1181.5,False,63.0,False,-3.328203518299544
2020-02-15,0.3075,357.0,1183.5,True,64.0,False,-1.9032015415211156
2020-02-16,0.2926,344.0,1183.5,True,59.0,False,-0.6618978602168535
2020-02-17,0.2877,338.0,1183.5,False,49.0,False,-0.7321590652611176
2020-02-18,0.2989,347.0,1182.2,False,53.0,False,-1.7997474414023218
2020-02-19,0.2746,327.0,1188.1,False,50.0,False,0.2291907495138856
2020-02-20,0.271,326.0,1190.8,False,44.0,False,1.0204929056344625
2020-02-21,0.2745,326.0,1197.0,False,44.0,False,-0.7841400708815227
2020-02-22,0.2749,327.0,1205.6,True,43.0,False,-1.333488464044219
2020-02-23,0.2834,335.0,1205.6,True,46.0,False,-1.9513266483064728
2020-02-24,0.2707,326.0,1205.6,False,46.0,False,-0.109058845937271
2020-02-25,0.2524,307.0,1217.7,False,44.0,False,-0.1130577026367762
2020-02-26,0.2292,281.0,1212.7,False,41.0,False,1.0970141338662698
2020-02-27,0.2388,288.0,1216.8,False,39.0,False,-0.88509609189934
2020-02-28,0.2368,287.0,1215.9,False,40.0,False,-0.3213057617202919
2020-02-29,0.2291,278.0,1215.3,True,38.0,False,-0.1527268200514742
2020-03-01,0.2274,276.0,1215.3,True,39.0,False,-0.1299829982151501
2020-03-02,0.2399,287.0,1215.3,False,38.0,False,-1.560782940943306
2020-03-03,0.2344,280.0,1200.3,False,38.0,False,-0.4799425854571715
2020-03-04,0.2349,281.0,1191.4,False,40.0,False,0.4073967592208349
2020-03-05,0.2395,286.0,1186.4,False,41.0,False,0.6536150132961271
2020-03-06,0.2452,291.0,1185.0,False,39.0,False,0.1507423544716779
2020-03-07,0.2364,283.0,1191.4,True,38.0,False,0.4804028419124195
2020-03-08,0.2042,251.0,1191.4,True,33.0,False,3.171652803301228
2020-03-09,0.2096,257.0,1191.4,False,17.0,False,2.916320141676909
2020-03-10,0.2119,257.0,1201.4,False,16.0,False,0.9519097312377324
2020-03-11,0.2084,250.0,1196.7,False,17.0,False,0.2436803577079427
2020-03-12,0.1346,179.0,1192.8,False,14.0,False,11.491136018687676
